id,userName,userImage,date,score,scoreText,url,title,text,Source,application,is_positive
11,mas sigit,https://lh3.googleusercontent.com/a-/AOh14GgdxXuUu3iAnIvbnTFimQ0lf6a_opnmFy4vTYnrWg,2/14/2019 12:47,1,1,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOHDeNq0EGUCNClZi_-MIIeDsKkv490IX8VDXx9CAmB0piuVZdw3DQhMBoTDfp_1mVK-ItLofYtBlL9P8eE,,aku mau nanya min knpa bni banking ku kok tiba2 pas aku buka muncul tulisan maaf bni banking anda telah di buka di perangkat lain.sdangkan g mungkin klo ada yg bobol krna hp ku di kunci juga dn g ada yg tau.bisa g min ngurus bni banking lwt call center aja mslahnya q kerja di luar negri.gimna ya caranya agar q bisa aktifin itu aplikasi bni banking ku?,Google Play,BNI Call,0
12,Pengguna Google,https://lh3.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,1/30/2019 9:11,5,5,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOF8xUtFXfqkQV9QRQftUjWW8JuRvh8WpmYcWLn6kL3NvVg_A7KGoowGHHHqjqADtkQuW2ovdpgz4OQRrv4,,"kalau email diluar BNI apakah masih terecord di leva sbg syarat untuk BLW basic, karena ada teman saya yg blm pernah daftar leva, dengan menggunakan email BNI tidak bisa daftar dan alasannya email telah terdaftar, padahal blm pernah mendaftar sblmnya",Google Play,BNI Call,0
13,Toni Handika,https://lh3.googleusercontent.com/a-/AOh14GjKIZrrkel7R4vH731hzs0trQXmdXWQ45nFCviXkA,12/18/2018 5:53,1,1,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOGb5KOQb8SGmcpWSt86vVWWCTVLO6UnvHI9e6xJGdOEYt1bvUTo4g4akRWUMw6-nSrfaxS1fcv9JtoCbwU,,"Saya kecewa! Aplikasi tidak membantu sama sekali. Pelanggan ingin solusi dari petugas asli bukan robot yang selalu tidak nyambung dengan permasalahan yang ada. Inti jawaban yang di berikan robot yaitu suruh telepon ke 1500046 atau suruh datang langsung ke bank BNI. Ketika minta menghubungkan ke petugas, selalu saja tidak bisa. Sangat mengecewakan. Aplikasi ini percuma di buat, lebih baik gunakan aplikasi chat yang sudah ada. Sehingga pelanggan puas dengan jawaban dari ORANG bukan ROBOT.",Google Play,BNI Call,0
14,Pengguna Google,https://lh3.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,12/13/2018 2:46,2,2,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOGUfc5QBKdKAXDx0kS9TCCePfOcci7cYnGYVi9s-n_h3QxslumvjGa4gEEgtV0phJXzq2eUdixPUhTqX8g,,aplikasi selalu force close pada redmi 4A rolex MIUI 10,Google Play,BNI Call,0
15,Rahman Arlovsky,https://lh3.googleusercontent.com/-fgHr7TrwMes/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmEhQZ3gE5ZiTNUOaF4l5PT4t2S5g/photo.jpg,11/11/2018 13:59,1,1,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOHp9yY_7Ig9ELGK5EhESnrsSI-4QwfYod7lwx15js7UABQl-Oae7ZmMi0oaITdduibPxrMvDDgD9joOXyY,,Aplikasi apa ini .. gak berguna bnget aplikasi ini.. saya tnya apa di malah di jwab gak jelas,Google Play,BNI Call,0
16,Dhipooh Shoping,https://lh3.googleusercontent.com/-dXSrT1g9BFY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnWil5lrSolXTtUq2aSdr_6IDPczw/photo.jpg,10/8/2018 12:33,1,1,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOEB2m0cZQg1o8KiuP8Vr36r0AjHnE-x4OI64lWMSQugAJTeWuo4Ed5CjtMXg_7JFxAYkVZd8Cxr9HzE1ok,,Qrain ini aplikasi chat online dgn cs bni :/. syng kuota aj didownload. Hem saya beli pls via atm bni tp plsnya tidak masuk. Gmn dong min??,Google Play,BNI Call,0
17,Pengguna Google,https://lh3.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,9/23/2018 2:49,2,2,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOFrJn4a83WcQ3rMtlZ4Y0QOyOGq-TLi-fHOkNOkPGh5FZWyg3uz3Ikf_rqqADVnhb4N4dIZY90WnqOUd9E,,"Tidak bisa masuk dlm aplikasi, padahal sudah daftar",Google Play,BNI Call,0
18,Pengguna Google,https://lh3.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,9/10/2018 7:17,1,1,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOGVmh3fIQlU5gqcY06HuUeZZdarJSgIs8a4nFaNHSFAPGmChLfKWNETzD77cp9z8Bf88ojUcc1z-3PSGIs,,Saya mau Tanya tentang transferan ke Bank lain yg belum sampai2 .Dan sampai skrng gak ada solusi.,Google Play,BNI Call,0
19,Pengguna Google,https://lh3.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,9/7/2018 2:31,4,4,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOHzGu4yCcvuqnAXYdReVl9cTsc65E6sSwNZ1p1vfqwl8mFJfZm3iK7gNB5vAzn566R4wPk_wWTf9bfEXZY,,Tadi daftar udah berhasil begitu mau login ndak bisa lagi..,Google Play,BNI Call,0
20,Setya Nugraha,https://lh3.googleusercontent.com/a-/AOh14Gh7WaBWWr5OzZY6UaVJSIvnOuLKdgzhADaQt0U6yQ,9/6/2018 8:50,1,1,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOGLqawINuARzHg8NlSX4L7tj_GFC2RqD1u9OUQHlomErwfDjuVxxJeC93H9epwT_AyQf0loQV1BdaT8Qgs,,Sering koneksi error network,Google Play,BNI Call,0
21,edo fmarpaung,https://lh3.googleusercontent.com/-nDdazM_pQ7E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmIZrRitmHRof6797kR7rbwB44zNQ/photo.jpg,9/3/2018 5:04,1,1,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOFguFncwpgKWOtzW4A8OIg_Z1z0K2wuvOkqqUFwxBykbSjJ6oi3fjfwuJQNBD1gzJMNccWAncji1nysEO0,,Saya mau berbicara dengan custumer officer dijawab sampai jumpa. Bagaimana caranya utk bisa berbicara langsung dengan CS ? Jawaban virtual sangat mengecewakan. Lebih baik hapus aplikasi ini kalau hanya memuat info produk bni saja,Google Play,BNI Call,0
22,Satyo Anggoro,https://lh3.googleusercontent.com/a-/AOh14GjB7hmh7k_ugmtknFafr3gvLRpzYhhejmEkKoap,8/25/2018 9:12,2,2,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOHhcTIiJKc8P4MbO7gGO2yfUuZClcF0L6ne72vXpikumpbd0elKVd5-alxRWkFl9WUGbGA5kFJaAYZhZhU,,Tidak bisa register...informasinya email sudah terdaftar padahal belum pernah...giliran di pake login g bisa,Google Play,BNI Call,0
23,indra bel,https://lh3.googleusercontent.com/-uLX2LTBYHoU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmhQdjp1TsL4YmRMexoZPVQojZ01A/photo.jpg,8/21/2018 6:02,5,5,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOFhWGdJl4S7PtoXtXYzOxDGfXI_Am1BcGY2bEefS7XHPwo7RAYGbU196m2tLnu9lfjdrNOYmGxU2T-HiRg,,Blm di coba,Google Play,BNI Call,0
24,rudy adiatma,https://lh3.googleusercontent.com/-P6Q-k0rfqfM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck60w2-PrC_Nr8_OjjPKXz4OlmKeA/photo.jpg,8/15/2018 11:12,2,2,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOFqysPvMIu42xo9jz50Seepzo3sr2ycvWJru5TG9-LkqLSHJdEL9eYOCyEYL2mLAhQORflZPNBxE_Lzln4,,"loading lama. bahasa yg digunakan tidak baku. masak ""tunggu sebentar 
ya...."" yg bener itu ""mohon tunggu sebentar"". lebih diperbaiki lg utk 
developer dan tim UInya. sama2 pernah belajar ginian lo soalnya.",Google Play,BNI Call,0
25,getriyani pitri,https://lh3.googleusercontent.com/-v51mmMiqi9c/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmA77pCtKFizRopZaHD_RL8eC0W7w/photo.jpg,8/10/2018 1:27,3,3,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOG9cXcU6rZIiduye-rH9PMYR40FChbma8VztoKBz5mVNxcldBeUlonske590wqE8XjvJ7Q0tmQAj11iJ0w,,Kenapa gk bs ya? Harus setting ke google text mksdnya gmn ne?,Google Play,BNI Call,0
26,FANGARE MIDHO,https://lh3.googleusercontent.com/a-/AOh14Gg06s81Vj2IO-A1CJ9Bft6QZ2jdkrbOcYYkn0KlwQ,7/12/2018 2:25,5,5,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOH4owMhp6KsHGGFSnkeypOtH3cHGk-XcrTcPOnnr0ve4QKytDaJEZMVCQjjnZbCuqhVOJFBIzC9Rx80TRk,,"Saya kok tidak bisa masuk ke aplikasinya, mohon bantuannya",Google Play,BNI Call,0
27,Allan Riedel,https://lh3.googleusercontent.com/a-/AOh14GhqdU-tmxaL_45YvDD3NUV_XORguujYd2aJPCS8,6/28/2020 5:20,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOF5bFBACTR69lduNMZi2iYnmXKT6pHPzCMHPZpam53VWOcPMi_2-J5ihUfDYzziyvTBW1NE9PShV60qvyE,,"Mending ditarik dari peredaran saja, katanya virtual asistent, ujung2nya diarahkan menghubungi call center yg hanya ngabisin pulsa, nunggu 10 menit jawabanya petugasnya sibuk semua, useless banget. Ga di saranin download aplilasi ini, bahkan menggunakan BANK INI.",Google Play,BNI Call,0
28,Dwi Hariyono,https://lh3.googleusercontent.com/a-/AOh14Ghj71Kdq0C34HHdt1r9jA-APsre5iM4wVxqCua_,5/9/2020 22:33,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOG_ox9mJHOwmwonUlMHLRYan6LqoFkPfqTeEzzSd508YjTIkYuJKa12h4tMPpUOonSMPpeBfMuka50mCL0,,"Sama sekali tidak berguna, keluhan tidak terdokumentasi, dan yg membalas pesan adalah robot, saya melakukan komplain terkait tapcash sama sekali tdak di tindak lanjuti, pengalaman lewat telpon disuruh nunggu lama jadinya ngabisin pulsa, sudah berulang kali saya email ke bni call tp sm sekali g di bales, lewat aplikasi inipun g berguna, sangat mengecewakan untuk bank dengan slogan dogitol",Google Play,BNI Call,0
29,martua manullang,https://lh3.googleusercontent.com/a-/AOh14GghAYFGI7JsfrRy3ZJMDkXmiVj2cmCtFgmVd8x5JQ,5/1/2020 15:29,2,2,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOEiWXNPvjDBtMUBZTzrZWeYvISUp6j6rb5W25nYfVNBG1yKfYQuiKrwIyUGdb8doK9yIz6V6gWyBZpQbEM,,"Tdk membntu,, nama aplikasi tdk sesuai Dgn content",Google Play,BNI Call,0
30,dewi eka murniati,https://lh3.googleusercontent.com/-b5esyZ_f2k8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclwr59EUSrvOLuOCsYJul3qyR9Azw/photo.jpg,3/30/2020 4:02,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOF60Uw12XcBbtLsKDlOZa4-ki9udVeuLzXTZ3Z1F6zaTewDXVimWIoNzCtYn55GSpuQuUP1ZC97ENYcCVY,,Tidak membantu sama sekali.,Google Play,BNI Call,0
31,caroline octoberty,https://lh3.googleusercontent.com/a-/AOh14Gi19H2nqUHGsRoXBh3Q9N_wd2N5uK0eIFnMgAYKgg,2/3/2020 9:25,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOHRNnSCMIW-gtLXZ-cMNo1-Ycbi7onBgzM5DFQCb3t_As5VO5NDZ3AHzy-WAghr4YftkoGbjVOcvHcn2zI,,Force close di versi Android 10,Google Play,BNI Call,0
32,Ahmad Mushofi,https://lh3.googleusercontent.com/a-/AOh14GhyhSY5VzvM8FYFz3aFdLYZBDY1PjyXLc-gzZVV,1/8/2020 16:15,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOHnoUUZilHsLU8jYAh8uZ5WpIJTusTmBzF-tfXKq_uImKgVmXgWoQxm2hGD33F6gRIoGtnqG9fE4nrToR8,,Useless. Terlalu sering forced close,Google Play,BNI Call,0
33,info kuh,https://lh3.googleusercontent.com/a-/AOh14Gjj1ioXQYKsqeJ53LdaA8qsOpHT4e0RIB6Q5yHjrA,1/8/2020 5:10,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOFZTbI6wAiqCvF4UdZNIzTBDFIPOACmGhjoGlZ7cnMvdePQ3304S3-EiA0rOlXlEOw0-Z8mHCGPZBSr-Vc,,Saya ingin komplain ke bni call tidak bisa sama sekali,Google Play,BNI Call,0
34,Arif Salman Dabigi,https://lh3.googleusercontent.com/-6wCFmVTSuKk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclFzxoEM3khac-1tN2DhyZDxMepMw/photo.jpg,11/16/2019 3:52,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOEa_gk-ayrgK-AQjHj8FGvLR1GTmpKVOqNWISfU-rZUStoUzCvjKQBmjzQa4ZeV4lkCWZ1SXP_hy20xJhM,,Didn't help at all,Google Play,BNI Call,0
35,citra pradhitia,https://lh3.googleusercontent.com/-sJR0_eUjeqg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucljKlyYtRv4TIGRysTpY_aV79SHCg/photo.jpg,9/24/2019 2:37,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOEJTFxBxuAicZEkvkadOjtK3RKzATJAh5jcu9Cnzy4DLDB-kMvIgD-A4nmhNDlVFP43-6EzvrCk7LitRb4,,Cannot support to my device TAP S3,Google Play,BNI Call,0
36,raza fahmi,https://lh3.googleusercontent.com/a-/AOh14GgLXMpilRHujgmrNEpGzdthNz0XA-ZF9oZgHqEfXkA,9/9/2019 0:31,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOGtJI6Sv0EoN98QdTDvcPp9DCmrTTBsJw-nbtsCQMvXNC_z0QMFuQJxidlw5bPlNzbojRz2ZkuCsdJhCf4,,"sy sdh download, sdh daftar, pas mau login ko ga bisa2 ya..??, keluar2 terus aplikasinya, tlg dibantu perbaiki dong",Google Play,BNI Call,0
37,Deyana Evelyn,https://lh3.googleusercontent.com/-oSN5lAN8_go/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclEnqBfXSrxJpadsGDk8pZ0ouVs2g/photo.jpg,9/8/2019 6:35,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOEETsvyV3CAYtWhbjFZh89aIJLb7UzBINNxlAWS32nJi69h4S3EdBCrJu0r7ZBZ3wfuq4IWgTzrBFkgls8,,Useless.,Google Play,BNI Call,0
38,Fauzan Fajrin,https://lh3.googleusercontent.com/-SAdzddQRkSc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn4o0tHHQyEgjPL5ZZaULYittrABw/photo.jpg,7/13/2019 9:14,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOHM1onjj_w5IdkZ0_Q-V-9e5HOdViHG_XVnbgUV9e7gnQBTZO8xohU6-h9XtHhV9wgKjdpWt2USAgvz9Fs,,"customer service BNI cm ngabisin pulsa, berkali2 di telpon selalu dalam antrian tunggu. setelah itu cust service sibuk.",Google Play,BNI Call,0
39,Yovita Hariyono-GÃ¼nther,https://lh3.googleusercontent.com/a-/AOh14GjdoztwNfxfO_eW1qGNcFDIckDz4l0vm5-gfq2lkg,6/3/2019 6:13,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOH4-wwb3FXMsmrajORVf9gZCZfAiDP8M3oy8_XzVsAWpbrVG-ycm8VnriOj-jERNg6uB_2C7N19FkdwMpY,,doesn't help anything!!!,Google Play,BNI Call,0
40,Muhammad Rahman,https://lh3.googleusercontent.com/-GQv9xAGjLf8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnlyQJHWkSX54_Jhtxaf_yjf-4rsQ/photo.jpg,5/14/2019 10:44,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOHodW85T1FiD1ubPMvYlfIPPw1HnSoqM183FwTrVguqCMVJ2PODWtIJYGtEOXeQWONpBzTY0wpkwtiE1a8,,"Melaporkan kejadian, chatting dengan petugas tapi katanya disuruh call lagi ke call center. Aplikasi nggak berguna, uninstall lagi. Heran banget kenapa dibuat aplikasi kalau laporan kejadian harus nelpon ke call center lagi.",Google Play,BNI Call,0
41,Rosikh Najiyullah,https://lh3.googleusercontent.com/a-/AOh14GicqXC3z8EAHyntjVcYm8kccR_XKUp3-bR-CfqZvQ,3/4/2019 17:07,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOH90WCOD4rFk6n3hoJ2tbuqQ8u6UtETDmawMKzTRRUawqygBiaJvxv52EXg57vC_2l8yjt4bSwNxLxABDU,,tidak menyelesaikan masalah karena customer hanya berinteraksi dengan bot,Google Play,BNI Call,0
42,Muhammad Jayadi Anwar,https://lh3.googleusercontent.com/a-/AOh14Ghc5Wjd6ijFCcrRB35calsbghtXr0-GkvTzss088g,2/28/2019 6:29,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOGbEPO9TO75tldduMLlgzIaGxsNNUwJn_MyZtPbD5ARwnsDubDkG-vFQML_JF47-c5LnwuCiFsAavUUi6w,,"Kenapa maksa banget harus install google text to speech? saya gak mau pasang, gabisa di tolak jg",Google Play,BNI Call,0
43,Dhamayanti,https://lh3.googleusercontent.com/a-/AOh14GhFrVClAQuHuRYRaSV57C6Vw2TIu4iqnN9FDhpzqw,2/8/2019 2:33,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOHP6vHH2HRqOPWATGwAGv4M7oFl1P_Y6-Be0K0veeVLeiYGTLMj8xbVwDfX9b-vzlOHshOqOPSvxyz3MQM,,ga bisa di instal gimana dong?,Google Play,BNI Call,0
44,Merrey,https://lh3.googleusercontent.com/a-/AOh14GirAzUPxoMpjsMdRRRYtQtUICwEYo5EesHRry8OKw,1/2/2019 14:14,2,2,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOEOVt7hDxz4242nRusnRx5oCW_F0S9YceyuoN2VMdULu96uwvEMJNA3c0xOaMs5WcMa2IomsHRVWCz06E8,,"terlalu banyak bug. contoh saat klik bni tapenas, kembali ke pilihan menu awal. saat klik promo kartu kredit muncul tulisan ""maaf tidak ada promo pacific hotel ditemukan"". mohon coding AI diperbaiki utk meningkatkan percieve usefulness dan ease of usenya",Google Play,BNI Call,0
45,Oky Prawisanti,https://lh3.googleusercontent.com/-UAOs_cWGC0Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckeNlOhgdQsgTGhVFC2MrLQ0qjvPQ/photo.jpg,12/23/2018 4:57,1,1,https://play.google.com/store/apps/details?id=id.co.bni.bnicall&reviewId=gp:AOqpTOHozTKiXe5lXTDNI_oOdXffwJdCI1pajZpkuz_FEzDplTeopmKczVV6zrSmVS-PX8JhvVzU316Cts7_ZU8,,"sama sekali gak bs membantu, uninstall sj",Google Play,BNI Call,0
